description,age,employment_status,employment_years,income,credit_score,loan_amount,loan_term_months,loan_purpose,debt_to_income,existing_loans,collateral,revolving_utilization,delinquencies,bankruptcies,underwriter_notes,credit_health_index,approved,risk_tier,recommended_apr,default_prob,max_approved_amount
"Borrower review: 31-year-old employed requesting a $8,204 60-month loan for vehicle purchase. Financial standing: $60,918 annual gross income, credit rating of 593, and leverage ratio of 0.39. Collateral posture: None. Obligation structure: 3 existing loan liability(ies), with zero delinquencies, 39% revolving usage. Analyst review: Unfavorable leverage metrics and multiple active loan liabilities.",31,Employed,6.6,60918,593,8204,60,Vehicle Purchase,0.39,3,None,0.39,0,0,Unfavorable leverage metrics and multiple active loan liabilities.,46.3,0,Tier C (Subprime),17.06,0.468,21153
"Applicant is a 43-year-old retired professional (12.2 years in field) requesting a $66,151 credit facility for personal over 36 months secured by property / real estate. Declared annual income is $74,387 against a credit score of 691 and DTI ratio of 0.47. Credit file shows 5 existing loan liability(ies), 14% revolving utilization, and with zero delinquencies. Underwriting assessment: Solid balance sheet with multi-year steady employment and low debt obligations.",43,Retired,12.2,74387,691,66151,36,Personal,0.47,5,Property / Real Estate,0.14,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,72.8,1,Tier A (Prime),11.23,0.058,40615
"Credit application summary: $69,578 education loan sought by a 66-year-old employed individual. Repayment horizon is 60 months with none collateral. Applicant commands an annual income of $48,988 with a FICO score of 549 and debt ratio of 0.24. Borrower carries 1 existing loan liability(ies) and revolving utilization of 25%. Credit notes: Moderate risk profile; requires verification of secondary liquid assets.",66,Employed,14.3,48988,549,69578,60,Education,0.24,1,None,0.25,0,0,Moderate risk profile; requires verification of secondary liquid assets.,48.7,1,Tier B (Near-Prime),16.54,0.409,17892
"Loan profile: The applicant is 59 years of age, working as freelancer with 30.2 years of experience. Seeking $31,002 financing for home purchase across 48 monthly installments secured by investment portfolio. Earning $37,445 annually with an established credit score of 734 and monthly DTI of 0.33. The borrower currently maintains 1 existing loan liability(ies). Risk note: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",59,Freelancer,30.2,37445,734,31002,48,Home Purchase,0.33,1,Investment Portfolio,0.25,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,96.8,1,Tier A+ (Prime),6.25,0.02,27185
"Borrower review: 57-year-old freelancer requesting a $15,471 60-month loan for home purchase. Financial standing: $59,349 annual gross income, credit rating of 660, and leverage ratio of 0.30. Collateral posture: Investment Portfolio. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 4% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",57,Freelancer,18.5,59349,660,15471,60,Home Purchase,0.3,1,Investment Portfolio,0.04,0,0,Clean repayment history with strong collateral backing.,94.5,1,Tier A+ (Prime),6.46,0.02,42063
"Applicant is a 29-year-old employed professional (5.5 years in field) requesting a $35,969 credit facility for debt consolidation over 36 months without collateral backing. Declared annual income is $32,878 against a credit score of 678 and DTI ratio of 1.20. Credit file shows 5 existing loan liability(ies), 12% revolving utilization, and with zero delinquencies. Underwriting assessment: Aggressive loan request relative to stated annual gross income.",29,Employed,5.5,32878,678,35969,36,Debt Consolidation,1.2,5,None,0.12,0,0,Aggressive loan request relative to stated annual gross income.,8.9,0,Tier D (High Risk),25.29,0.94,3000
"Credit application summary: $97,107 business expansion loan sought by a 54-year-old student individual. Repayment horizon is 36 months with property / real estate collateral. Applicant commands an annual income of $15,000 with a FICO score of 718 and debt ratio of 0.99. Borrower carries 1 existing loan liability(ies) and revolving utilization of 19%. Credit notes: Aggressive loan request relative to stated annual gross income.",54,Student,0.0,15000,718,97107,36,Business Expansion,0.99,1,Property / Real Estate,0.19,0,0,Aggressive loan request relative to stated annual gross income.,20.5,0,Tier D (High Risk),22.74,0.921,3000
"Loan profile: The applicant is 70 years of age, working as employed with 17.5 years of experience. Seeking $15,491 financing for debt consolidation across 60 monthly installments secured by vehicle. Earning $96,306 annually with an established credit score of 701 and monthly DTI of 0.08. The borrower currently maintains no existing debt obligations. Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",70,Employed,17.5,96306,701,15491,60,Debt Consolidation,0.08,0,Vehicle,0.16,1,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,71507
"Borrower review: 68-year-old retired requesting a $88,754 48-month loan for business expansion. Financial standing: $39,332 annual gross income, credit rating of 642, and leverage ratio of 0.38. Collateral posture: None. Obligation structure: 1 existing loan liability(ies), with 2 past delinquency flag(s), 24% revolving usage. Analyst review: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",68,Retired,35.5,39332,642,88754,48,Business Expansion,0.38,1,None,0.24,2,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,33.0,0,Tier C (Subprime),19.99,0.769,9734
"Applicant is a 51-year-old employed professional (4.1 years in field) requesting a $11,255 credit facility for home purchase over 60 months secured by property / real estate. Declared annual income is $102,824 against a credit score of 765 and DTI ratio of 0.13. Credit file shows 1 existing loan liability(ies), 7% revolving utilization, and with zero delinquencies. Underwriting assessment: Strong liquidity profile and prime credit score history.",51,Employed,4.1,102824,765,11255,60,Home Purchase,0.13,1,Property / Real Estate,0.07,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,76346
"Credit application summary: $17,107 debt consolidation loan sought by a 26-year-old employed individual. Repayment horizon is 240 months with investment portfolio collateral. Applicant commands an annual income of $82,016 with a FICO score of 747 and debt ratio of 0.18. Borrower carries 2 existing loan liability(ies) and revolving utilization of 2%. Credit notes: Verified disposable cash flow comfortably covers debt service coverage ratio.",26,Employed,2.4,82016,747,17107,240,Debt Consolidation,0.18,2,Investment Portfolio,0.02,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,60896
"Loan profile: The applicant is 40 years of age, working as self-employed with 8.8 years of experience. Seeking $43,562 financing for vehicle purchase across 48 monthly installments secured by property / real estate. Earning $211,809 annually with an established credit score of 546 and monthly DTI of 0.09. The borrower currently maintains 1 existing loan liability(ies). Risk note: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",40,Self-Employed,8.8,211809,546,43562,48,Vehicle Purchase,0.09,1,Property / Real Estate,0.35,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,69.7,1,Tier A (Prime),11.92,0.078,110723
"Borrower review: 39-year-old business owner requesting a $81,694 36-month loan for commercial equipment. Financial standing: $134,584 annual gross income, credit rating of 667, and leverage ratio of 0.27. Collateral posture: None. Obligation structure: 4 existing loan liability(ies), with 2 past delinquency flag(s), 7% revolving usage. Analyst review: Verified disposable cash flow comfortably covers debt service coverage ratio.",39,Business Owner,11.9,134584,667,81694,36,Commercial Equipment,0.27,4,None,0.07,2,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,68.3,1,Tier A (Prime),12.22,0.089,68940
"Applicant is a 45-year-old employed professional (7.5 years in field) requesting a $121,022 credit facility for home purchase over 48 months secured by commercial equipment. Declared annual income is $128,388 against a credit score of 600 and DTI ratio of 0.19. Credit file shows 2 existing loan liability(ies), 9% revolving utilization, and with zero delinquencies. Underwriting assessment: Verified disposable cash flow comfortably covers debt service coverage ratio.",45,Employed,7.5,128388,600,121022,48,Home Purchase,0.19,2,Commercial Equipment,0.09,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,95328
"Credit application summary: $84,441 debt consolidation loan sought by a 23-year-old self-employed individual. Repayment horizon is 48 months with property / real estate collateral. Applicant commands an annual income of $95,448 with a FICO score of 586 and debt ratio of 0.27. Borrower carries 1 existing loan liability(ies) and revolving utilization of 35%. Credit notes: Verified disposable cash flow comfortably covers debt service coverage ratio.",23,Self-Employed,0.5,95448,586,84441,48,Debt Consolidation,0.27,1,Property / Real Estate,0.35,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,69.3,1,Tier A (Prime),12.0,0.081,49609
"Loan profile: The applicant is 65 years of age, working as employed with 35.0 years of experience. Seeking $128,566 financing for debt consolidation across 60 monthly installments secured by property / real estate. Earning $82,558 annually with an established credit score of 726 and monthly DTI of 0.29. The borrower currently maintains 1 existing loan liability(ies). Risk note: Clean repayment history with strong collateral backing.",65,Employed,35.0,82558,726,128566,60,Debt Consolidation,0.29,1,Property / Real Estate,0.23,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,61299
"Borrower review: 71-year-old employed requesting a $46,006 36-month loan for debt consolidation. Financial standing: $132,006 annual gross income, credit rating of 652, and leverage ratio of 0.10. Collateral posture: Property / Real Estate. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 5% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",71,Employed,26.4,132006,652,46006,36,Debt Consolidation,0.1,1,Property / Real Estate,0.05,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,98014
